div_size,avg_time
889,3.400000
891,4.100000
893,4.400000
895,3.900000
897,3.500000
899,3.700000
901,4.100000
903,4.200000
905,4.000000
907,4.200000
909,4.200000
911,4.200000
913,3.800000
915,4.200000
917,4.100000
919,3.900000
921,4.100000
923,4.100000
925,4.100000
927,4.000000
929,2.900000
931,3.000000
933,4.100000
935,4.200000
937,4.100000
939,4.200000
941,3.700000
943,4.100000
945,3.600000
947,2.300000
949,3.700000
951,3.400000
953,4.200000
955,4.100000
957,4.000000
959,4.200000
961,4.200000
963,4.100000
965,4.200000
967,4.000000
969,4.200000
971,4.800000
973,4.300000
975,4.500000
977,4.100000
979,4.300000
981,4.100000
983,4.400000
985,4.800000
987,4.300000
989,4.300000
991,4.300000
993,3.600000
995,4.300000
997,4.400000
999,4.200000
1001,4.800000
1003,4.200000
1005,4.300000
1007,4.900000
1009,4.100000
1011,5.000000
1013,4.300000
1015,4.700000
1017,4.100000
1019,4.400000
1021,4.700000
1023,4.400000
1025,4.700000
1027,4.100000
1029,5.000000
1031,4.200000
1033,4.800000
1035,4.400000
1037,4.700000
1039,4.400000
1041,3.900000
1043,4.300000
1045,4.200000
1047,4.700000
1049,4.200000
1051,4.800000
1053,4.400000
1055,4.800000
1057,4.300000
1059,4.900000
1061,4.200000
1063,5.000000
1065,4.900000
1067,4.400000
1069,4.800000
1071,4.200000
1073,5.000000
1075,4.900000
1077,3.600000
1079,5.000000
1081,4.200000
1083,4.700000
1085,4.500000
1087,4.900000
1089,3.400000
1091,4.300000
1093,5.000000
1095,4.900000
1097,5.000000
1099,4.900000
1101,5.000000
1103,4.300000
1105,4.900000
1107,5.000000
1109,4.400000
1111,5.000000
1113,4.900000
1115,4.900000
1117,4.900000
1119,4.400000
1121,4.900000
1123,5.000000
1125,4.900000
1127,4.900000
1129,5.100000
1131,4.200000
1133,4.900000
1135,4.900000
1137,5.000000
1139,5.100000
1141,4.900000
1143,5.000000
1145,5.000000
1147,5.000000
1149,4.700000
1151,5.000000
1153,5.000000
1155,4.900000
1157,5.100000
1159,5.000000
1161,5.000000
1163,4.900000
1165,5.000000
1167,5.000000
1169,5.000000
1171,5.000000
1173,5.000000
1175,5.100000
1177,5.600000
1179,5.000000
1181,5.000000
1183,5.000000
1185,5.000000
1187,5.000000
1189,5.000000
1191,5.700000
1193,5.100000
1195,4.900000
1197,4.900000
1199,5.000000
1201,4.900000
1203,5.100000
1205,4.800000
1207,5.700000
1209,5.100000
1211,4.900000
1213,5.000000
1215,5.700000
1217,5.100000
1219,4.800000
1221,5.100000
1223,5.000000
1225,5.800000
1227,5.000000
1229,5.700000
1231,5.000000
1233,5.700000
1235,5.400000
1237,4.800000
1239,5.700000
1241,5.000000
1243,5.800000
1245,3.600000
1247,5.400000
1249,5.400000
1251,4.900000
1253,6.100000
1255,4.900000
1257,5.700000
1259,5.000000
1261,5.900000
1263,4.900000
1265,6.000000
1267,5.500000
1269,5.000000
1271,5.700000
1273,4.800000
1275,6.300000
1277,5.400000
1279,4.900000
1281,4.900000
1283,6.000000
1285,5.500000
1287,4.300000
1289,5.800000
1291,4.900000
1293,6.000000
1295,5.500000
1297,5.100000
1299,5.800000
1301,5.600000
1303,5.600000
1305,5.200000
1307,5.700000
1309,5.600000
1311,5.100000
1313,6.000000
1315,5.400000
1317,5.600000
1319,5.000000
1321,5.800000
1323,6.000000
1325,5.600000
1327,5.700000
1329,5.400000
1331,5.000000
1333,6.400000
1335,5.300000
1337,6.000000
1339,5.700000
1341,5.600000
1343,4.600000
1345,5.100000
1347,6.300000
1349,5.300000
1351,6.300000
1353,5.300000
1355,6.200000
1357,5.200000
1359,6.200000
1361,5.400000
1363,6.100000
1365,5.500000
1367,6.000000
1369,5.600000
1371,6.100000
1373,6.000000
1375,5.300000
1377,6.200000
1379,5.200000
1381,5.800000
1383,5.900000
1385,5.900000
1387,5.600000
1389,5.700000
1391,6.400000
1393,6.000000
1395,5.800000
1397,5.300000
1399,5.300000
1401,6.400000
1403,5.900000
1405,5.300000
1407,6.000000
1409,6.000000
1411,5.900000
1413,5.600000
1415,6.700000
1417,6.100000
1419,6.200000
1421,6.000000
1423,6.100000
1425,5.300000
1427,6.200000
1429,6.200000
1431,6.400000
1433,6.300000
1435,6.200000
1437,6.100000
1439,6.200000
1441,6.100000
1443,6.100000
1445,6.200000
1447,6.200000
1449,6.200000
1451,5.700000
1453,6.300000
1455,6.100000
1457,5.600000
1459,6.800000
1461,5.600000
1463,6.900000
1465,5.600000
1467,6.200000
1469,6.300000
1471,6.200000
1473,6.100000
1475,6.200000
1477,6.200000
1479,6.300000
1481,6.200000
1483,5.600000
1485,6.100000
1487,6.400000
1489,6.300000
1491,5.900000
1493,6.700000
1495,6.400000
1497,5.600000
1499,6.100000
1501,6.300000
1503,6.300000
1505,6.100000
1507,6.000000
1509,5.400000
1511,6.600000
1513,5.700000
1515,7.000000
1517,6.300000
1519,6.300000
1521,6.200000
1523,6.300000
1525,5.500000
1527,6.500000
1529,6.500000
1531,6.400000
1533,6.300000
1535,6.300000
1537,6.400000
1539,6.300000
1541,6.400000
1543,6.500000
1545,6.400000
1547,6.300000
1549,6.500000
1551,6.500000
1553,6.400000
1555,6.400000
1557,6.400000
1559,6.500000
1561,6.400000
1563,6.400000
1565,6.500000
1567,6.500000
1569,6.500000
1571,6.600000
1573,6.600000
1575,6.700000
1577,6.600000
1579,6.700000
1581,6.400000
1583,6.400000
1585,6.700000
1587,6.500000
1589,6.600000
1591,6.600000
1593,6.600000
1595,6.700000
1597,5.700000
1599,6.100000
1601,6.800000
1603,6.800000
1605,6.900000
1607,6.800000
1609,6.500000
1611,6.600000
1613,6.700000
1615,6.700000
1617,6.600000
1619,7.200000
1621,6.700000
1623,6.700000
1625,6.600000
1627,7.200000
1629,7.100000
1631,6.900000
1633,7.000000
1635,7.000000
1637,6.900000
1639,6.700000
1641,7.200000
1643,7.000000
1645,7.100000
1647,6.700000
1649,7.400000
1651,6.400000
